link;scrapeado
/Restaurant_Review-g294074-d10642720-Reviews-La_Vaca_Ana-Bogota.html;False
/Restaurant_Review-g294074-d10643842-Reviews-Pedro_Melenas_Cafe-Bogota.html;False
/Restaurant_Review-g294074-d10658744-Reviews-La_Batidora-Bogota.html;False
/Restaurant_Review-g294074-d10664618-Reviews-Dulcinea-Bogota.html;False
/Restaurant_Review-g294074-d10665682-Reviews-Cafe_delator-Bogota.html;False
/Restaurant_Review-g294074-d10666943-Reviews-Empanadas_Tipicas-Bogota.html;False
/Restaurant_Review-g294074-d10670978-Reviews-Caprese_Cocina_Artesanal-Bogota.html;False
/Restaurant_Review-g294074-d10672878-Reviews-Me_Late_Gastronomia_Mexicana-Bogota.html;False
/Restaurant_Review-g294074-d10678176-Reviews-Go_Green-Bogota.html;False
/Restaurant_Review-g294074-d10679014-Reviews-Mistral-Bogota.html;False
/Restaurant_Review-g294074-d10681602-Reviews-Restaurante_El_Gallineral_de_Mazuren-Bogota.html;False
/Restaurant_Review-g294074-d10683992-Reviews-El_Kilo_Marisqueria-Bogota.html;False
/Restaurant_Review-g294074-d10684224-Reviews-EightySix_Cocktail_Bar-Bogota.html;False
/Restaurant_Review-g294074-d10684903-Reviews-Solo_Mio-Bogota.html;False
/Restaurant_Review-g294074-d10685600-Reviews-Aquariu_s_Restaurante_Cafe_Bar-Bogota.html;False
/Restaurant_Review-g294074-d10688086-Reviews-Tonino_s_Pasta-Bogota.html;False
/Restaurant_Review-g294074-d10688424-Reviews-Mazorcas_Factory_Restaurante_Express-Bogota.html;False
/Restaurant_Review-g294074-d10688731-Reviews-La_Bicicleteria_D_C-Bogota.html;False
/Restaurant_Review-g294074-d10693141-Reviews-Sara_s_Sabor_Mexicano-Bogota.html;False
/Restaurant_Review-g294074-d10700281-Reviews-La_Milagrosa_Pub-Bogota.html;False
/Restaurant_Review-g294074-d10711621-Reviews-La_Food_House-Bogota.html;False
/Restaurant_Review-g294074-d10711662-Reviews-Crepes_del_Huerto-Bogota.html;False
/Restaurant_Review-g294074-d10712383-Reviews-Casa_Almirante-Bogota.html;False
/Restaurant_Review-g294074-d10712580-Reviews-Serge_Thiry_Chocolates_de_Autor-Bogota.html;False
/Restaurant_Review-g294074-d10712613-Reviews-Serge_Thiry-Bogota.html;False
/Restaurant_Review-g294074-d10715026-Reviews-Similoa-Bogota.html;False
/Restaurant_Review-g294074-d10715313-Reviews-Rock_Pizza_Brasil-Bogota.html;False
/Restaurant_Review-g294074-d10716292-Reviews-Postres_Antojito_Com-Bogota.html;False
/Restaurant_Review-g294074-d10716776-Reviews-Restaurante_Leon-Bogota.html;False
/Restaurant_Review-g294074-d10716848-Reviews-Madremonte-Bogota.html;False
/Restaurant_Review-g294074-d10728414-Reviews-La_Casa_Della_Pasta-Bogota.html;False
/Restaurant_Review-g294074-d10734194-Reviews-Restaurante_y_Pesca_Deportiva_EL_DANUBIO-Bogota.html;False
/Restaurant_Review-g294074-d10735400-Reviews-Cocheros_Ciudad_Montes-Bogota.html;False
/Restaurant_Review-g294074-d10736603-Reviews-Restaurante_Marinillo-Bogota.html;False
/Restaurant_Review-g294074-d10745455-Reviews-Sahara_Restaurante-Bogota.html;False
/Restaurant_Review-g294074-d10748337-Reviews-Crunch_wings-Bogota.html;False
/Restaurant_Review-g294074-d10753609-Reviews-Gourmet_Burger_Bar-Bogota.html;False
/Restaurant_Review-g294074-d10753646-Reviews-Tinku-Bogota.html;False
/Restaurant_Review-g294074-d10757905-Reviews-El_Cebollero-Bogota.html;False
/Restaurant_Review-g294074-d10760021-Reviews-The_Sandwich_Boutique-Bogota.html;False
/Restaurant_Review-g294074-d10766492-Reviews-La_Rueda-Bogota.html;False
/Restaurant_Review-g294074-d10768975-Reviews-El_Gran_Caldas_Arroz_Paisa-Bogota.html;False
/Restaurant_Review-g294074-d1077478-Reviews-Patagonia-Bogota.html;False
/Restaurant_Review-g294074-d10777386-Reviews-Big_Dog_s_Company_Bogota-Bogota.html;False
/Restaurant_Review-g294074-d10777395-Reviews-Viva_Brasil-Bogota.html;False
/Restaurant_Review-g294074-d10782087-Reviews-Obleas_Mick_Jagger-Bogota.html;False
/Restaurant_Review-g294074-d10782871-Reviews-Archie_s-Bogota.html;False
/Restaurant_Review-g294074-d10787382-Reviews-Arroz_Chino_Colombiano_Man_Xiang-Bogota.html;False
/Restaurant_Review-g294074-d10788640-Reviews-Levelma-Bogota.html;False
/Restaurant_Review-g294074-d10790537-Reviews-Dos_Carreras-Bogota.html;False
/Restaurant_Review-g294074-d10790571-Reviews-Profano_Bistro_Cafe-Bogota.html;False
/Restaurant_Review-g294074-d10792334-Reviews-Mandarin_Express-Bogota.html;False
/Restaurant_Review-g294074-d10792598-Reviews-FoodPark_Usaquen-Bogota.html;False
/Restaurant_Review-g294074-d10794260-Reviews-Juice_Me_Up_Colombia-Bogota.html;False
/Restaurant_Review-g294074-d10794404-Reviews-El_Barrio-Bogota.html;False
/Restaurant_Review-g294074-d10798212-Reviews-Hashi_Sushi_Bar-Bogota.html;False
/Restaurant_Review-g294074-d10798373-Reviews-Caminito-Bogota.html;False
/Restaurant_Review-g294074-d10799147-Reviews-Restaurante_Cornelia_Bogota-Bogota.html;False
/Restaurant_Review-g294074-d10800247-Reviews-Mi_Querencia_Cafe-Bogota.html;False
/Restaurant_Review-g294074-d10801291-Reviews-Frutilandia-Bogota.html;False
/Restaurant_Review-g294074-d10803388-Reviews-P4_la_Paella-Bogota.html;False
/Restaurant_Review-g294074-d10810437-Reviews-Hamburg_Pub-Bogota.html;False
/Restaurant_Review-g294074-d10815489-Reviews-Sierra_Nevada_Hamburguesas_y_Malteadas-Bogota.html;False
/Restaurant_Review-g294074-d10815499-Reviews-Sierra_Nevada_Burgers_And_Shakes-Bogota.html;False
/Restaurant_Review-g294074-d10815500-Reviews-Sierra_Nevada_Hamburguesas_y_Malteadas-Bogota.html;False
/Restaurant_Review-g294074-d10820194-Reviews-Armando_su_Buffet-Bogota.html;False
/Restaurant_Review-g294074-d10822104-Reviews-Brazzeiro-Bogota.html;False
/Restaurant_Review-g294074-d10822122-Reviews-Sierra_Nevada_Hamburguesas_y_Malteadas-Bogota.html;False
/Restaurant_Review-g294074-d10822124-Reviews-Sierra_Nevada_Hamburguesas_y_Malteadas-Bogota.html;False
/Restaurant_Review-g294074-d10822126-Reviews-Sierra_Nevada_Hamburguesas_y_Malteadas-Bogota.html;False
/Restaurant_Review-g294074-d10822537-Reviews-Carmen_De_Bolivar-Bogota.html;False
/Restaurant_Review-g294074-d10826105-Reviews-Restaurante_La_Lupe-Bogota.html;False
/Restaurant_Review-g294074-d10826319-Reviews-Pasta_e_Basta-Bogota.html;False
/Restaurant_Review-g294074-d10832369-Reviews-T_G_I_Friday_s-Bogota.html;False
/Restaurant_Review-g294074-d10833548-Reviews-Novillo_de_Oro-Bogota.html;False
